cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All Causes,1985,Douglas,129,40093.59,321.747192,841.2722398,6446.851879
All Causes,1985,Eagle,41,18074.55,226.8382892,789.7587256,23912.109
All Causes,1985,Elbert,42,8605.54,488.0576931,811.9310599,14750.62314
All Causes,1985,El Paso,1850,368552.9,501.9632189,862.0214664,409.0963178
All Causes,1985,Fremont,374,31411.57,1190.644084,951.2229876,2390.655291
All Causes,1985,Garfield,172,25759.53,667.714046,902.2896815,4626.647285
All Causes,1985,Gilpin,17,3126.61,543.7198755,868.5242592,47095.23914
All Causes,1985,Grand,41,9259.83,442.7727075,974.3991584,32642.86889
All Causes,1985,Gunnison,50,10435.54,479.1318897,1078.271526,21249.14386
All Causes,1985,Hinsdale,,517.72,,,
All Causes,1985,Huerfano,81,6854.47,1181.710621,948.4160963,11031.59055
All Causes,1985,Jackson,7,1775.15,394.3328733,474.5249048,31111.21399
All Causes,1985,Jefferson,2182,421663.47,517.4742787,997.9392153,470.8170681
All Causes,1985,Kiowa,12,1893.11,633.8775877,521.9162819,25632.45688
All Causes,1985,Kit Carson,69,7592.46,908.7963585,875.7526054,10657.65778
All Causes,1985,Lake,33,6836.01,482.7377374,1018.243846,41729.68858
All Causes,1985,La Plata,182,31438.61,578.9060013,833.7168541,3858.604698
All Causes,1985,Larimer,962,170769.95,563.3309608,792.9942081,631.476736
